startFly,endFly,flyTime,batteryID,batteryProduct,startCount,startBatVolt,startBatPercent,endBatVolt,endBatPercent,mAmpFly,maxAmp
20260128154759,20260128154804,00:05,B,HRB,54,0.00,0,0.00,0,1024,N/A
20260128161317,,00:03,B,HRB,55,1024.00,100,26.00,0,N/A,N/A
20260128161319,,00:01,0,,,134.00,100,49.00,87,N/A,N/A
20260128161321,20260128161325,00:03,0,,,-68.00,0,0.00,0,0,N/A
20260129164200,20260129164201,00:02,D,Opti Power,56,-101.00,0,0.00,0,0,N/A
20260130102614,20260130102617,00:03,B,HRB,56,-101.00,0,0.00,0,0,N/A
20260131112425,20260131112431,00:06,B,HRB,57,0.00,0,0.00,0,34,N/A
20260131160215,20260131160223,00:07,0,,,0.00,0,0.00,0,34,N/A
20260131160424,20260131160429,00:20,0,,,0.00,0,0.00,0,34,N/A
20260131160523,20260131160538,00:15,0,,,0.00,0,0.00,0,34,N/A
20260131160751,20260131160754,00:03,0,,,0.00,0,0.00,0,34,N/A
20260131161037,20260131161043,00:07,0,,,0.00,0,0.00,0,34,N/A
20260131161050,20260131161054,00:04,0,,,0.00,0,0.00,0,34,N/A
20260131161107,20260131161108,00:01,A,HRB,171,0.00,0,0.00,0,34,N/A
20260131161110,20260131161115,00:05,0,,,0.00,0,0.00,0,34,N/A
20260131161119,20260131161121,00:02,0,,,0.00,0,0.00,0,34,N/A
20260131170131,20260131170134,00:03,0,,,0.00,0,0.00,0,34,N/A
20260131170137,20260131170140,00:03,0,,,0.00,0,0.00,0,34,N/A
20260131170148,20260131170152,00:04,D,Opti Power,57,0.00,0,0.00,0,34,N/A
20260131170153,20260131170156,00:03,0,,,0.00,0,0.00,0,34,N/A
20260131215404,20260131215415,00:10,B,HRB,58,-1024.00,0,0.00,0,34,N/A
20260131221652,20260131221707,00:15,A,HRB,172,1024.00,100,1024.00,100,579,N/A
20260131221745,20260131221749,00:04,D,Opti Power,58,-456.00,0,0.00,0,579,N/A
20260131233025,20260131233030,00:05,0,,,-456.00,0,0.00,0,579,N/A
20260131234339,20260131234341,00:02,A,HRB,173,-456.00,0,0.00,0,579,N/A
20260131234505,20260131234507,00:02,A,HRB,174,-456.00,0,0.00,0,579,N/A
20260131234525,20260131234529,00:04,A,HRB,175,-456.00,0,0.00,0,579,N/A
20260131234749,20260131234750,00:01,A,HRB,176,-456.00,0,0.00,0,579,N/A
20260131234918,20260131234920,00:02,0,,,-456.00,0,0.00,0,579,N/A
