"startFly","endFly","flyTime","batteryID","batteryProduct",startCount,startBatVolt,startBatPercent,endBatVolt,endBatPercent,mAmpFly,maxAmp
"20260301120108","20260301133724","00:04","25-001","HRC",83,46.56,37,50.4,85,1676,1257
"20260301155441","20260301155451","00:10",,"CHNC",0,50.4,0,50.4,100,1164,780
"20260301165500",,"00:00","1","HULK",63,50.17,83,50.17,83,1164,780
"20260301173202","20260301173348","01:18","B-001","PtiO",84,49.44,77,49.44,77,70,780
"20260301180453","20260301180544","00:51","C1-001","RASEP",85,49.77,79,49.77,79,1071,0
"20260302125152","20260302125200","00:08","25-002","HRC",59,0.0,0,0.0,0,1399,872
"20260302125645","20260302125821","01:37","A/2026","CHNC",245,49.44,93,46.15,48,1724,912
"20260302153343","20260302153344","00:00","2","HULK",86,50.4,85,50.4,85,0,0
"20260302154608",,"00:00","B-002","PtiO",66,50.4,85,50.4,85,0,0
"20260302154611","20260302154613","00:01",,"RASEP",0,0.0,0,0.0,0,0,0
"20260302163723",,"00:00","25-003","HRC",66,48.98,72,50.4,85,296,0
"20260303144119",,"00:00","A/2027","CHNC",66,50.4,85,50.4,85,0,0
"20260303155338","20260303155340","00:02","3","HULK",87,0.0,0,0.0,0,0,0
"20260303155511","20260303155531","00:03","B-003","PtiO",88,49.69,79,50.4,85,592,384
"20260303155611","20260303155613","00:01","C1-003","RASEP",246,0.0,0,0.0,0,592,384
"20260304153239","20260304153247","00:09","25-004","HRC",247,50.4,100,46.15,48,592,384
"20260307181037","20260307181038","00:01","A/2028","CHNC",60,0.0,0,0.0,0,0,0
"20260308213909","20260308213921","00:12","4","HULK",61,50.08,97,47.84,75,1769,768
"20260309163035",,"00:00","B-004","PtiO",41,50.4,100,50.4,100,592,384
"20260309163110","20260309163112","00:02","C1-004","RASEP",62,0.0,0,0.0,0,592,384
"20260311162710","20260311162719","00:09","25-005","HRC",63,50.38,100,46.04,46,1505,384
"20260311164431","20260311164433","00:01","A/2029","CHNC",64,0.0,0,0.0,0,1505,384
"20260312143817","20260312143827","00:10","5","HULK",89,0.0,0,0.0,0,1061,384
"20260312143935","20260312143939","00:03","B-005","PtiO",248,0.0,0,0.0,0,1061,384
"20260312144014","20260312144022","00:08","C1-005","RASEP",202,0.0,0,0.0,0,1061,384
"20260312220642","20260312220713","00:27","25-006","HRC",65,50.24,99,45.9,42,1583,977
"20260313210108","20260313210112","00:04","A/2030","CHNC",66,49.77,97,49.77,97,1583,977
"20260313215117","20260313215147","00:30","6","HULK",67,50.4,100,46.97,64,1978,0
"20260314103505","20260314103542","00:36","B-006","PtiO",249,50.33,100,47.84,75,1745,1257
"20260314153106","20260314153151","00:46","C1-006","RASEP",90,50.24,83,46.92,44,2048,1140
"20260319163222","20260319163225","00:02",,"HRC",0,0.0,0,0.0,0,1061,384
"20260320220504","20260320220514","00:11","A/2031","CHNC",250,0.0,0,0.0,0,1024,1164
"20260320220756",,"00:00","7","HULK",70,49.96,81,49.96,81,1978,1187
"20260320220824","20260320220826","00:02","B-007","PtiO",91,50.36,84,50.36,84,1978,1187
"20260325220013",,"00:00","C1-007","RASEP",73,50.17,83,50.4,85,0,0
"20260325224315",,"00:00","25-008","HRC",73,50.4,85,50.4,85,0,0
"20260325225653","20260325225701","00:08","A/2032","CHNC",94,50.4,85,46.56,37,1047,1280
