startFly,endFly,flyTime,batteryID,batteryProduct,startCount,startBatVolt,startBatPercent,endBatVolt,endBatPercent,mAmpFly,maxAmp
"20260301120108","20260301133724","00:04","B","HRB",83,46.56,37,50.40,85,1676,1257
"20260301155441","20260301155451","00:10","","",0,50.40,0,50.40,100,1164,780
"20260301165500","","00:00","B","HRB",63,50.17,83,50.17,83,1164,780
"20260301173202","20260301173348","01:18","B","HRB",84,49.44,77,49.44,77,70,780
"20260301180453","20260301180544","00:51","B","HRB",85,49.77,79,49.77,79,1071,0
"20260302125152","20260302125200","00:08","D","Opti Power",59,0.00,0,0.00,0,1399,872
"20260302125645","20260302125821","01:37","A","HRB",245,49.44,93,46.15,48,1724,912
"20260302153343","20260302153344","00:00","B","HRB",86,50.40,85,50.40,85,0,0
"20260302154608","","00:00","B","HRB",66,50.40,85,50.40,85,0,0
"20260302154611","20260302154613","00:01","","",0,0.00,0,0.00,0,0,0
"20260302163723","","00:00","B","HRB",66,48.98,72,50.40,85,296,0
"20260303144119","","00:00","B","HRB",66,50.40,85,50.40,85,0,0
"20260303155338","20260303155340","00:02","B","HRB",87,0.00,0,0.00,0,0,0
"20260303155511","20260303155531","00:03","B","HRB",88,49.69,79,50.40,85,592,384
"20260303155611","20260303155613","00:01","A","HRB",246,0.00,0,0.00,0,592,384
"20260304153239","20260304153247","00:09","A12345","HRB1234567",247,50.40,100,46.15,48,592,384
"20260307181037","20260307181038","00:01","D","Opti Power",60,0.00,0,0.00,0,0,0
"20260308213909","20260308213921","00:12","D","Opti Power",61,50.08,97,47.84,75,1769,768
"20260309163035","","00:00","D","Opti "Power",41,50.40,100,50.40,100,592,384
"20260309163110","20260309163112","00:02","D","Opti Power",62,0.00,0,0.00,0,592,384
"20260311162710","20260311162719","00:09","D","Opti Power",63,50.38,100,46.04,46,1505,384
"20260311164431","20260311164433","00:01","D","Opti Power",64,0.00,0,0.00,0,1505,384
"20260312143817","20260312143827","00:10","BBB12345","HRB",89,0.00,0,0.00,0,1061,384
"20260312143935","20260312143939","00:03","A12345","HRB1234567",248,0.00,0,0.00,0,1061,384
"20260312144014","20260312144022","00:08","C","HRB",202,0.00,0,0.00,0,1061,384
"20260312220642","20260312220713","00:27","D","Opti Power",65,50.24,99,45.90,42,1583,977
"20260313210108","20260313210112","00:04","D","Opti Power",66,49.77,97,49.77,97,1583,977
"20260313215117","20260313215147","00:30","D","Opti Power",67,50.40,100,46.97,64,1978,0
"20260314103505","20260314103542","00:36","A12345","HRB1234567",249,50.33,100,47.84,75,1745,1257
"20260314153106","20260314153151","00:46","BBB12345","HRB",90,50.24,83,46.92,44,2048,1140
"20260319163222","20260319163225","00:02","","",0,0.00,0,0.00,0,1061,384
"20260320220504","20260320220514","00:11","A12345","HRB1234567",250,0.00,0,0.00,0,1024,1164
"20260320220756","","00:00","BBB12345","HRB",70,49.96,81,49.96,81,1978,1187
"20260320220824","20260320220826","00:02","BBB12345","HRB",91,50.36,84,50.36,84,1978,1187
"20260325220013","","00:00","BBB12345","HRB",73,50.17,83,50.40,85,0,0
"20260325224315","","00:00","BBB12345","HRB",73,50.40,85,50.40,85,0,0
"20260325225653","20260325225701","00:08","BBB12345","HRB",94,50.40,85,46.56,37,1047,1280
