startFly,endFly,flyTime,batteryID,batteryID,batteryProduct,startCount,startBatVolt,startBatPercent,endBatVolt,endBatPercent,mAmpFly,maxAmp
20260301120108,20260301133724,00:04,25-001,B,HRC,83,46.56,37,50.40,85,1676,1257
20260301155441,20260301155451,00:10,,,CHNC,0,50.40,0,50.40,100,1164,780
20260301165500,,00:00,1,B,HULK,63,50.17,83,50.17,83,1164,780
20260301173202,20260301173348,01:18,B-001,B,PtiO,84,49.44,77,49.44,77,70,780
20260301180453,20260301180544,00:51,C1-001,B,RASEP,85,49.77,79,49.77,79,1071,0
20260302125152,20260302125200,00:08,25-002,D,HRC,59,0.00,0,0.00,0,1399,872
20260302125645,20260302125821,01:37,A/2026,A,CHNC,245,49.44,93,46.15,48,1724,912
20260302153343,20260302153344,00:00,2,B,HULK,86,50.40,85,50.40,85,0,0
20260302154608,,00:00,B-002,B,PtiO,66,50.40,85,50.40,85,0,0
20260302154611,20260302154613,00:01,,,RASEP,0,0.00,0,0.00,0,0,0
20260302163723,,00:00,25-003,B,HRC,66,48.98,72,50.40,85,296,0
20260303144119,,00:00,A/2027,B,CHNC,66,50.40,85,50.40,85,0,0
20260303155338,20260303155340,00:02,3,B,HULK,87,0.00,0,0.00,0,0,0
20260303155511,20260303155531,00:03,B-003,B,PtiO,88,49.69,79,50.40,85,592,384
20260303155611,20260303155613,00:01,C1-003,A,RASEP,246,0.00,0,0.00,0,592,384
20260304153239,20260304153247,00:09,25-004,A12345,HRC,247,50.40,100,46.15,48,592,384
20260307181037,20260307181038,00:01,A/2028,D,CHNC,60,0.00,0,0.00,0,0,0
20260308213909,20260308213921,00:12,4,D,HULK,61,50.08,97,47.84,75,1769,768
20260309163035,,00:00,B-004,D,PtiO,41,50.40,100,50.40,100,592,384
20260309163110,20260309163112,00:02,C1-004,D,RASEP,62,0.00,0,0.00,0,592,384
20260311162710,20260311162719,00:09,25-005,D,HRC,63,50.38,100,46.04,46,1505,384
20260311164431,20260311164433,00:01,A/2029,D,CHNC,64,0.00,0,0.00,0,1505,384
20260312143817,20260312143827,00:10,5,BBB12345,HULK,89,0.00,0,0.00,0,1061,384
20260312143935,20260312143939,00:03,B-005,A12345,PtiO,248,0.00,0,0.00,0,1061,384
20260312144014,20260312144022,00:08,C1-005,C,RASEP,202,0.00,0,0.00,0,1061,384
20260312220642,20260312220713,00:27,25-006,D,HRC,65,50.24,99,45.90,42,1583,977
20260313210108,20260313210112,00:04,A/2030,D,CHNC,66,49.77,97,49.77,97,1583,977
20260313215117,20260313215147,00:30,6,D,HULK,67,50.40,100,46.97,64,1978,0
20260314103505,20260314103542,00:36,B-006,A12345,PtiO,249,50.33,100,47.84,75,1745,1257
20260314153106,20260314153151,00:46,C1-006,BBB12345,RASEP,90,50.24,83,46.92,44,2048,1140
20260319163222,20260319163225,00:02,,,HRC,0,0.00,0,0.00,0,1061,384
20260320220504,20260320220514,00:11,A/2031,A12345,CHNC,250,0.00,0,0.00,0,1024,1164
20260320220756,,00:00,7,BBB12345,HULK,70,49.96,81,49.96,81,1978,1187
20260320220824,20260320220826,00:02,B-007,BBB12345,PtiO,91,50.36,84,50.36,84,1978,1187
20260325220013,,00:00,C1-007,BBB12345,RASEP,73,50.17,83,50.40,85,0,0
20260325224315,,00:00,25-008,BBB12345,HRC,73,50.40,85,50.40,85,0,0
20260325225653,20260325225701,00:08,A/2032,BBB12345,CHNC,94,50.40,85,46.56,37,1047,1280
